UID          PID    PPID  C STIME TTY          TIME CMD
kavya        997     996  0 07:49 pts/2    00:00:00 sh /mnt/c/Users/kavya/.vscode/extensions/ms-vscode-remote.remote-wsl-0.104.3/scripts/wslServer.sh 08d4889f9ec4a1685d257b9b95de036c8e1ce1e5 stable code-server .vscode-server --host=127.0.0.1 --port=0 --connection-token=3359542126-3488478826-392091514-3090240991 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
kavya       1003     997  0 07:49 pts/2    00:00:00 sh /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/bin/code-server --host=127.0.0.1 --port=0 --connection-token=3359542126-3488478826-392091514-3090240991 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
kavya       1007    1003  0 07:49 pts/2    00:00:04 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/out/server-main.js --host=127.0.0.1 --port=0 --connection-token=3359542126-3488478826-392091514-3090240991 --use-host-proxy --without-browser-env-var --disable-websocket-compression --accept-server-license-terms --telemetry-level=all
root        1019       2  0 07:49 ?        00:00:00 /init
root        1020    1019  0 07:49 ?        00:00:00 /init
kavya       1021    1020  0 07:49 pts/3    00:00:01 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node -e const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 45077 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });
root        1028       2  0 07:49 ?        00:00:00 /init
root        1029    1028  0 07:49 ?        00:00:00 /init
kavya       1030    1029  0 07:49 pts/4    00:00:02 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node -e const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 45077 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });
kavya       1039    1007  0 07:49 pts/2    00:00:00 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/out/bootstrap-fork --type=fileWatcher
kavya       1285    1007  2 07:49 pts/2    00:01:01 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node --dns-result-order=ipv4first /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=true
kavya       1291    1007  0 07:49 pts/2    00:00:02 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/out/bootstrap-fork --type=agentHost --logsPath /home/kavya/.vscode-server/data/logs/20260902T074908 --user-data-dir /home/kavya/.vscode-server/data --telemetry-level all
kavya       1313    1291  0 07:49 pts/2    00:00:01 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node_modules/@github/copilot-linux-x64/index.js --headless --no-auto-update --log-level info --stdio --no-auto-login
kavya       1812    1285  0 07:50 pts/2    00:00:01 /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/node /home/kavya/.vscode-server/bin/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/extensions/markdown-language-features/dist/serverWorkerMain --node-ipc --clientProcessId=1285
root        7546       1  0 08:19 ?        00:00:00 /usr/libexec/wsl-pro-service
root        8835      94  0 08:26 ?        00:00:00 (udev-worker)
root        8836      94  0 08:26 ?        00:00:00 (udev-worker)
kavya       8844     351  0 08:26 pts/0    00:00:00 /bin/bash ./task.sh
kavya       8873    8844  0 08:26 pts/0    00:00:00 ps -ef
